annotation_id,annotator,created_at,id,lead_time,review,sentiment,updated_at
1,1,2026-02-14T12:58:11.367731Z,1,33.001,This movie is a triumph in every sense. Highly recommended for everyone.,Positive,2026-02-14T12:58:11.367744Z
2,1,2026-02-14T12:58:20.903575Z,2,9.41,I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.,Negative,2026-02-14T12:58:20.903600Z
3,1,2026-02-14T12:58:28.827622Z,3,7.803,I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.,Positive,2026-02-14T12:58:28.827645Z
4,1,2026-02-14T12:58:37.999681Z,4,9.047,The trailer was better than the movie. The acting was frankly tedious. A complete misfire.,Negative,2026-02-14T12:58:37.999711Z
5,1,2026-02-14T12:58:48.276560Z,5,10.156,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.",Neutral,2026-02-14T12:58:48.276582Z
6,1,2026-02-14T13:07:30.859695Z,6,522.452,It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,2026-02-14T13:07:30.859716Z
7,1,2026-02-14T13:07:37.690274Z,7,6.711,I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.,Negative,2026-02-14T13:07:37.690293Z
8,1,2026-02-14T13:07:44.116330Z,8,6.307,Nothing about the acting worked. What a complete waste of potential.,Negative,2026-02-14T13:07:44.116368Z
9,1,2026-02-14T13:07:50.052222Z,9,5.813,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.",Neutral,2026-02-14T13:07:50.052254Z
10,1,2026-02-14T13:08:57.314930Z,10,67.141,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.",Positive,2026-02-14T13:08:57.314964Z
11,1,2026-02-14T13:09:39.145257Z,11,41.707,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.",Positive,2026-02-14T13:09:39.145274Z
12,1,2026-02-14T13:09:48.345643Z,12,9.083,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.",Neutral,2026-02-14T13:09:48.345666Z
13,1,2026-02-14T13:14:42.958396Z,13,294.493,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.",Neutral,2026-02-14T13:14:42.958416Z
14,1,2026-02-14T13:15:04.440009Z,14,21.359,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,2026-02-14T13:15:04.440044Z
15,1,2026-02-14T13:15:14.033085Z,15,9.47,I am confused about how I feel. It left me puzzled.,Neutral,2026-02-14T13:15:14.033112Z
16,1,2026-02-14T13:15:41.956928Z,16,27.803,"The direction was typical, but nothing special. Middle of the road entertainment.",Neutral,2026-02-14T13:15:41.956947Z
17,1,2026-02-14T13:15:45.824675Z,17,3.752,Total garbage. Zero stars if I could give it.,Negative,2026-02-14T13:15:45.824696Z
18,1,2026-02-14T13:15:51.432130Z,18,5.496,I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.,Positive,2026-02-14T13:15:51.432167Z
19,1,2026-02-14T13:15:55.104506Z,19,3.552,"I tried to like it, I really did, but it failed. I walked out halfway through.",Negative,2026-02-14T13:15:55.104532Z
20,1,2026-02-14T13:16:01.513902Z,20,6.287,I am confused about how I feel. Your mileage may vary significantly.,Neutral,2026-02-14T13:16:01.513937Z
21,1,2026-02-14T13:16:08.556232Z,21,6.928,I have mixed feelings about this one. You won't remember it a week from now.,Negative,2026-02-14T13:16:08.556252Z
22,1,2026-02-14T13:16:13.469596Z,22,4.778,I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.,Positive,2026-02-14T13:16:13.469626Z
23,1,2026-02-14T13:16:18.934205Z,23,5.349,The costume design distracted me from everything else. I struggled to sit through the first half.,Negative,2026-02-14T13:16:18.934234Z
24,1,2026-02-14T13:16:24.627436Z,24,5.571,The visual effects were superb and added so much depth. This movie is a triumph in every sense.,Positive,2026-02-14T13:16:24.627459Z
25,1,2026-02-14T13:16:39.448804Z,25,14.705,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.",Positive,2026-02-14T13:16:39.448826Z
26,1,2026-02-14T13:16:45.718485Z,26,6.149,I have never been so bored in my life. Utterly disappointing.,Negative,2026-02-14T13:16:45.718516Z
27,1,2026-02-14T13:17:01.049904Z,27,15.219,A refreshing take on a tired genre. Don't miss this one.,Positive,2026-02-14T13:17:01.049937Z
28,1,2026-02-14T13:17:06.054488Z,28,4.877,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.",Neutral,2026-02-14T13:17:06.054516Z
29,1,2026-02-14T13:17:08.019251Z,29,1.846,What a complete waste of potential. It’s a hard pass from me.,Negative,2026-02-14T13:17:08.019283Z
30,1,2026-02-14T13:17:10.108427Z,30,1.967,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.",Positive,2026-02-14T13:17:10.108448Z
31,1,2026-02-14T13:17:13.302380Z,31,3.079,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.",Negative,2026-02-14T13:17:13.302407Z
32,1,2026-02-14T13:17:17.388324Z,32,3.969,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.",Neutral,2026-02-14T13:17:17.388343Z
33,1,2026-02-14T13:17:24.711865Z,33,7.21,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.",Negative,2026-02-14T13:17:24.711891Z
34,1,2026-02-14T13:17:37.759289Z,34,12.915,This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.,Negative,2026-02-14T13:17:37.759312Z
35,1,2026-02-14T13:17:51.175375Z,35,13.297,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.",Neutral,2026-02-14T13:17:51.175398Z
36,1,2026-02-14T13:20:53.552780Z,36,182.254,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.",Positive,2026-02-14T13:20:53.552813Z
37,1,2026-02-14T13:21:34.550455Z,37,40.884,It perfectly balances humor and drama. This movie is a triumph in every sense.,Positive,2026-02-14T13:21:34.550486Z
38,1,2026-02-14T13:21:36.965218Z,38,2.29,A frustrating experience. Avoid this at all costs.,Negative,2026-02-14T13:21:36.965245Z
39,1,2026-02-14T13:21:40.754300Z,39,3.675,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.",Neutral,2026-02-14T13:21:40.754325Z
40,1,2026-02-14T13:21:44.545201Z,40,3.67,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.",Positive,2026-02-14T13:21:44.545233Z
41,1,2026-02-14T13:21:50.303594Z,41,5.638,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.",Positive,2026-02-14T13:21:50.303621Z
42,1,2026-02-14T13:21:52.668755Z,42,2.231,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.",Positive,2026-02-14T13:21:52.668789Z
43,1,2026-02-14T13:22:11.334216Z,43,18.546,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.",Negative,2026-02-14T13:22:11.334254Z
44,1,2026-02-14T13:22:24.604113Z,44,13.145,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.",Negative,2026-02-14T13:22:24.604144Z
45,1,2026-02-14T13:22:48.296753Z,45,23.576,I am confused about how I feel. A polarizing experience for sure.,Positive,2026-02-14T13:22:48.296770Z
46,1,2026-02-14T13:22:50.941901Z,46,2.52,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.",Negative,2026-02-14T13:22:50.941925Z
47,1,2026-02-14T13:23:04.189093Z,47,13.125,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.",Neutral,2026-02-14T13:23:04.189119Z
48,1,2026-02-14T13:23:05.931158Z,48,1.615,This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.,Positive,2026-02-14T13:23:05.931192Z
49,1,2026-02-14T13:23:09.155216Z,49,3.11,It felt like a rough draft that was never edited. I struggled to sit through the first half.,Negative,2026-02-14T13:23:09.155235Z
50,1,2026-02-14T13:23:12.552611Z,50,3.285,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.",Neutral,2026-02-14T13:23:12.552639Z
51,1,2026-02-14T13:23:13.953598Z,51,1.278,An absolute joy to watch from start to finish. Two thumbs way up.,Positive,2026-02-14T13:23:13.953627Z
52,1,2026-02-14T13:23:17.497162Z,52,3.417,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.",Neutral,2026-02-14T13:23:17.497196Z
53,1,2026-02-14T13:23:19.719683Z,53,2.103,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.",Negative,2026-02-14T13:23:19.719714Z
54,1,2026-02-14T13:23:22.341726Z,54,2.507,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.",Neutral,2026-02-14T13:23:22.341747Z
55,1,2026-02-14T13:23:24.111611Z,55,1.652,"Finally, a movie that respects the audience. Two thumbs way up.",Positive,2026-02-14T13:23:24.111643Z
56,1,2026-02-14T13:23:26.476160Z,56,2.237,I oscillated between loving and hating this film. It’s definitely not for everyone.,Neutral,2026-02-14T13:23:26.476183Z
57,1,2026-02-14T13:23:29.301132Z,57,2.701,I was completely blown away by this film. Don't miss this one.,Positive,2026-02-14T13:23:29.301158Z
58,1,2026-02-14T13:23:31.109266Z,58,1.694,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.",Positive,2026-02-14T13:23:31.109288Z
59,1,2026-02-14T13:23:32.816270Z,59,1.594,Total garbage. A complete misfire.,Negative,2026-02-14T13:23:32.816299Z
60,1,2026-02-14T13:23:37.395930Z,60,4.463,An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.,Negative,2026-02-14T13:23:37.395960Z
61,1,2026-02-14T13:23:42.969727Z,61,5.468,Standard fare for this type of movie. Wait for it to come out on streaming.,Positive,2026-02-14T13:23:42.969753Z
62,1,2026-02-14T13:23:44.849727Z,62,1.76,I have never been so bored in my life. Do not bother.,Negative,2026-02-14T13:23:44.849749Z
63,1,2026-02-14T13:23:49.630979Z,63,4.663,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.",Neutral,2026-02-14T13:23:49.631010Z
64,1,2026-02-14T13:24:08.265914Z,64,18.499,It doesn't leave a lasting impression. It serves its purpose as popcorn filler.,Negative,2026-02-14T13:24:08.265945Z
65,1,2026-02-14T13:24:12.578624Z,65,4.19,"It serves its purpose as popcorn filler. If you're bored, give it a shot.",Negative,2026-02-14T13:24:12.578665Z
66,1,2026-02-14T13:24:16.326976Z,66,3.618,Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.,Neutral,2026-02-14T13:24:16.327009Z
67,1,2026-02-14T13:24:18.689122Z,67,2.236,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.",Negative,2026-02-14T13:24:18.689149Z
68,1,2026-02-14T13:24:21.705063Z,68,2.895,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.",Neutral,2026-02-14T13:24:21.705112Z
69,1,2026-02-14T13:24:26.806240Z,69,4.976,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.",Positive,2026-02-14T13:24:26.806263Z
70,1,2026-02-14T13:24:29.370603Z,70,2.444,The soundtrack was frankly disjointed. Total garbage.,Negative,2026-02-14T13:24:29.370627Z
71,1,2026-02-14T13:24:32.598492Z,71,3.117,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.",Neutral,2026-02-14T13:24:32.598527Z
72,1,2026-02-14T13:24:34.851285Z,72,2.131,The direction was frankly uninspired. I want my two hours back.,Negative,2026-02-14T13:24:34.851312Z
73,1,2026-02-14T13:24:36.421730Z,73,1.452,"It has some good moments, especially the direction. I have mixed feelings about this one.",Positive,2026-02-14T13:24:36.421756Z
74,1,2026-02-14T13:24:38.789755Z,74,2.242,It perfectly balances humor and drama. I was completely blown away by this film.,Positive,2026-02-14T13:24:38.789774Z
75,1,2026-02-14T13:24:42.345307Z,75,3.44,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.",Neutral,2026-02-14T13:24:42.345340Z
76,1,2026-02-14T13:24:45.716647Z,76,3.246,A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.,Positive,2026-02-14T13:24:45.716670Z
77,1,2026-02-14T13:24:48.472419Z,77,2.64,I didn't expect to enjoy this as much as I did. Highly recommended for everyone.,Positive,2026-02-14T13:24:48.472441Z
78,1,2026-02-14T13:24:52.022541Z,78,3.421,Standard fare for this type of movie. Good for a one-time watch.,Neutral,2026-02-14T13:24:52.022567Z
79,1,2026-02-14T13:24:55.241700Z,79,3.099,The plot holes were glaring and the direction was lifeless. What a complete waste of potential.,Negative,2026-02-14T13:24:55.241721Z
80,1,2026-02-14T13:24:58.480705Z,80,3.121,"A strange experience overall. I respect the ambition, even if it didn't fully land.",Neutral,2026-02-14T13:24:58.480730Z
81,1,2026-02-14T13:25:00.987754Z,81,2.401,A strange experience overall. A polarizing experience for sure.,Positive,2026-02-14T13:25:00.987780Z
82,1,2026-02-14T13:25:04.672043Z,82,3.557,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.",Neutral,2026-02-14T13:25:04.672068Z
83,1,2026-02-14T13:25:06.802415Z,83,2.001,I have mixed feelings about this one. 6/10 at best.,Neutral,2026-02-14T13:25:06.802445Z
84,1,2026-02-14T13:25:08.928248Z,84,2.0,I struggled to sit through the first half. A complete misfire.,Negative,2026-02-14T13:25:08.928282Z
85,1,2026-02-14T13:25:11.102690Z,85,2.065,An absolute joy to watch from start to finish. Highly recommended for everyone.,Positive,2026-02-14T13:25:11.102712Z
86,1,2026-02-14T13:25:45.193594Z,86,33.967,A frustrating experience. Zero stars if I could give it.,Negative,2026-02-14T13:25:45.193614Z
87,1,2026-02-14T13:25:47.194945Z,87,1.889,An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.,Negative,2026-02-14T13:25:47.194970Z
88,1,2026-02-14T13:25:52.005047Z,88,4.688,"It was... fine. It has some good moments, especially the character development. It is what it is.",Positive,2026-02-14T13:25:52.005077Z
89,1,2026-02-14T13:25:53.480732Z,89,1.353,An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.,Negative,2026-02-14T13:25:53.480754Z
90,1,2026-02-14T13:25:55.617591Z,90,2.016,This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.,Positive,2026-02-14T13:25:55.617622Z
91,1,2026-02-14T13:25:57.675566Z,91,1.924,"The screenplay was okay, but forgettable. It was... fine.",Neutral,2026-02-14T13:25:57.675592Z
92,1,2026-02-14T13:26:00.320352Z,92,2.517,A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.,Positive,2026-02-14T13:26:00.320379Z
93,1,2026-02-14T13:26:03.088493Z,93,2.65,I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.,Positive,2026-02-14T13:26:03.088514Z
94,1,2026-02-14T13:26:05.450398Z,94,2.236,It doesn't leave a lasting impression. Middle of the road entertainment.,Neutral,2026-02-14T13:26:05.450431Z
95,1,2026-02-14T13:26:10.824928Z,95,5.252,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.",Neutral,2026-02-14T13:26:10.824952Z
96,1,2026-02-14T13:26:15.131584Z,96,4.18,"While the lighting shines, the rest is convoluted. I am confused about how I feel.",Neutral,2026-02-14T13:26:15.131619Z
97,1,2026-02-14T13:26:18.249987Z,97,3.005,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.",Neutral,2026-02-14T13:26:18.250020Z
98,1,2026-02-14T13:26:21.710807Z,98,3.334,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.",Neutral,2026-02-14T13:26:21.710834Z
99,1,2026-02-14T13:26:26.036857Z,99,4.213,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.",Positive,2026-02-14T13:26:26.036877Z
100,1,2026-02-14T13:26:38.794689Z,100,12.64,I was hooked from the very first minute. I can't wait to see it again.,Positive,2026-02-14T13:26:38.794719Z
102,1,2026-02-14T13:28:49.646344Z,102,56.485,I struggled to sit through the first half. Nothing about the acting worked. I wouldn't recommend this to my worst enemy.,,2026-02-14T13:28:49.646360Z
